trajectory,ns,delta_t,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,tc_0,tc_1
10,1000,1,-0.005378,0.013962,-0.009916,0.022450,0.013610,0.010843,0.016530,0.018868,0.020055,0.027408,0.004052,0.004858,-0.006314,-0.000963,-0.008266,-0.006968,-0.012097,0.001310,0.008073,0.005651,-0.011518,-0.002707,-0.010718,-0.019728,0.000992,-0.009667,0.006186,-0.004071,-0.018126,0.004476,-0.000862,-0.009112,-0.016565,0.018621,0.003242,0.006294,0.002616,-0.002074,0.001635,-0.017185,-0.018239,-0.009581,-0.024289,-0.014594,-0.014094,-0.013202,-0.017533,-0.020665,0.000012,-0.014609,0.092547,0.064492
11,1000,1,0.021030,0.018176,0.012534,0.021630,0.019076,0.017129,0.014121,0.016310,0.015270,0.024555,-0.005188,0.004488,0.002614,0.027868,-0.002129,-0.018744,0.013739,0.005309,0.003909,0.004150,0.000128,0.000509,-0.000117,-0.005717,0.002731,-0.002676,0.000483,0.002620,-0.004171,0.009973,-0.006087,-0.008561,0.001585,-0.001013,-0.007403,0.004107,0.007680,-0.024096,0.001512,-0.004924,-0.005389,-0.028641,-0.006358,-0.025226,-0.012803,-0.010851,-0.009263,-0.031529,-0.009223,-0.019471,0.060640,0.071666
12,1000,1,0.015080,0.009494,0.004811,0.021119,0.026195,0.023070,0.010427,0.008408,0.010114,0.017059,-0.028054,0.009628,0.008232,-0.000819,0.003306,-0.003828,0.005908,0.007616,-0.010282,0.003213,-0.001792,-0.004314,-0.000453,0.003035,-0.006929,0.008565,-0.001471,0.003636,0.003020,-0.009525,-0.004508,-0.015600,-0.039007,-0.012633,0.000033,0.001991,-0.006061,-0.004508,0.004801,0.006000,-0.008437,-0.018785,-0.009262,-0.030204,-0.007887,-0.030881,-0.007301,-0.025826,-0.032192,-0.014315,0.077833,0.074587
13,1000,1,0.015686,0.014775,0.011141,0.017305,0.011704,0.015206,0.057758,0.023277,0.020273,0.013078,-0.010444,0.008952,0.002946,0.003192,-0.002512,0.003208,0.003523,0.004550,0.004086,0.000050,-0.008355,-0.009984,0.010519,-0.009865,-0.003359,0.000525,0.000513,0.001890,0.000936,-0.005111,-0.000046,-0.002635,-0.019077,0.002871,0.004818,-0.001613,0.000267,-0.010401,0.003112,0.006277,-0.016549,-0.007882,-0.001691,-0.023805,-0.015526,-0.034875,-0.021912,-0.014242,-0.026649,-0.017230,0.062440,0.096326
14,1000,1,0.016780,0.012257,0.010978,-0.004020,0.010725,0.021776,0.011636,0.022805,0.015869,0.016869,0.003336,0.009071,0.007872,0.006593,-0.002461,-0.000074,-0.000508,-0.018491,-0.004764,0.011078,0.003477,-0.003021,-0.013533,0.002596,-0.009513,-0.005808,-0.000299,0.003612,0.000441,0.000810,0.002434,-0.005027,-0.002070,0.000115,-0.009638,-0.000913,0.000144,-0.016493,-0.001953,0.005865,-0.018321,-0.013919,-0.001640,-0.005421,-0.031398,-0.015948,-0.037295,-0.021620,-0.028315,-0.005196,0.087477,0.097031
15,1000,1,0.012896,0.022299,0.018953,0.022045,-0.005870,0.022818,0.013694,0.014161,0.022061,0.015702,0.001320,-0.007254,-0.001034,-0.002492,0.003093,0.000463,0.010229,-0.004418,-0.005805,-0.000376,0.002656,-0.007876,0.003617,0.001302,0.004432,0.010669,-0.001844,-0.008260,-0.001524,-0.013732,0.000137,0.003572,-0.004863,0.016460,-0.002104,-0.001047,0.009086,-0.004359,0.001865,-0.001167,-0.015791,0.000467,-0.010623,-0.024482,-0.005362,-0.014354,-0.024899,-0.002028,-0.038220,-0.009214,0.079777,0.074189
16,1000,1,0.015161,0.015616,0.018654,0.026198,0.010815,0.010538,0.024477,0.015361,0.014129,0.025193,0.005624,-0.012057,0.002977,-0.002710,0.003016,-0.025007,0.000755,-0.007339,0.007916,-0.005978,0.037776,-0.001483,0.002461,-0.003407,-0.005536,-0.004214,-0.000602,-0.007424,0.002645,0.004816,0.002424,-0.003958,-0.005788,-0.006517,0.003618,-0.007743,-0.002974,-0.010524,0.000021,-0.003909,-0.020013,-0.024179,-0.008311,-0.011716,-0.021898,-0.027754,-0.016039,-0.033729,-0.027861,-0.006635,0.065413,0.094161
17,1000,1,0.014300,0.006569,0.011760,0.009933,0.029568,0.036794,0.017833,0.002385,0.014196,0.024708,-0.014804,0.001004,-0.000475,0.003112,-0.000131,-0.005605,0.003339,0.001863,-0.003970,0.005138,0.004346,-0.016184,-0.008253,0.002236,-0.014195,0.005561,-0.005232,-0.008305,-0.023348,0.006913,-0.007437,0.003647,-0.008903,-0.009461,0.000961,0.005145,-0.002262,-0.030124,0.000349,-0.000176,-0.010173,-0.011418,-0.014086,-0.030749,-0.022126,-0.017244,-0.008926,-0.022459,-0.028497,-0.027365,0.072885,0.082484
18,1000,1,0.016158,0.023526,0.018932,0.019158,0.026608,0.019986,0.023596,0.014428,0.006667,0.011281,-0.016771,0.001709,0.003915,-0.003366,-0.009157,0.003786,0.004571,-0.003093,-0.000892,-0.009809,0.009465,0.003759,-0.020498,-0.004253,0.001087,-0.000453,0.003265,-0.006401,0.000856,-0.007504,-0.002672,0.007218,-0.004364,0.007630,-0.007894,-0.004291,-0.004908,-0.000237,0.000800,-0.000361,-0.010557,-0.009600,-0.012269,-0.012753,-0.011689,-0.005024,-0.005569,-0.008012,-0.015277,-0.005237,0.070995,0.081195
19,1000,1,0.009254,0.007669,0.016537,0.016739,0.023456,0.015066,0.003899,0.018044,0.018233,0.016524,0.000522,-0.028710,-0.000358,0.004378,0.000366,0.003687,0.000987,0.000697,0.004230,0.002536,-0.000484,0.004520,-0.000817,0.003184,0.001533,0.001527,0.008832,0.005885,0.003204,-0.010205,-0.000392,-0.010957,0.008340,0.004087,0.035459,0.002988,-0.005411,0.005596,-0.002301,-0.000170,-0.028657,-0.022911,-0.020102,-0.011651,-0.010666,-0.015275,-0.022127,-0.009660,-0.003569,-0.008440,0.058580,0.093700
20,1000,1,0.005160,0.023846,0.016475,0.010231,0.021115,0.013739,0.014943,0.016425,0.019561,0.015692,-0.010979,0.000405,-0.013753,0.006352,0.006722,0.000742,0.002891,-0.024910,-0.012882,0.002389,-0.000946,-0.005593,-0.001090,-0.010128,0.000785,-0.000554,-0.010544,0.000902,-0.003739,0.002227,-0.007404,-0.002100,0.005300,-0.001994,0.000074,0.007600,0.006324,-0.002833,0.002025,-0.013058,-0.009671,-0.026459,-0.011109,-0.010137,-0.018573,-0.013862,-0.020779,-0.020955,-0.029906,-0.009511,0.096363,0.089295
21,1000,1,0.012331,0.001423,-0.003494,0.011902,0.012391,0.011599,0.015369,0.011966,0.014035,0.016725,-0.003444,-0.024144,-0.001360,0.003265,0.000832,0.007124,0.007903,0.008754,-0.020852,0.000860,-0.003024,0.006344,-0.007937,0.000282,-0.000469,-0.000880,-0.002608,-0.023781,-0.013688,0.005029,0.003067,-0.001689,-0.001481,-0.005446,-0.000689,-0.004008,-0.015944,0.005434,0.001517,-0.001178,-0.021114,-0.014097,-0.031022,-0.022226,-0.016807,-0.027985,-0.003409,-0.003089,-0.013771,-0.009205,0.076970,0.097820
22,1000,1,0.017454,0.014891,0.024418,0.013753,-0.002174,0.018848,0.013140,0.011727,0.018413,0.009373,0.005452,0.005798,-0.003115,-0.002800,-0.009745,-0.009956,0.000130,-0.020538,-0.001623,-0.002790,0.000363,0.009472,0.001242,0.002178,0.000265,0.001678,0.011398,0.005389,-0.015238,-0.006765,0.003688,0.001264,0.000636,0.010272,-0.020345,0.001626,-0.015416,-0.005764,0.004398,-0.005194,-0.009742,-0.021513,-0.004304,-0.011365,-0.009591,-0.009139,-0.009054,-0.008633,-0.003852,-0.005538,0.074801,0.097433
23,1000,1,0.011601,0.021651,-0.000538,0.017688,0.021932,0.015791,0.005188,0.016756,0.015265,0.020642,-0.003930,0.003122,0.008088,-0.006573,-0.010197,-0.020837,-0.000963,-0.002469,0.000148,0.002428,-0.002415,0.003279,0.000701,0.001847,-0.004021,-0.009132,-0.010935,0.002044,0.000084,-0.014691,-0.008895,-0.009559,0.003287,0.002990,-0.002190,-0.026421,0.000444,-0.006040,0.000529,0.002269,-0.011051,-0.036161,-0.021941,-0.016214,-0.007659,-0.010786,-0.031753,-0.019429,-0.016471,-0.015450,0.081347,0.100139
24,1000,1,0.013169,0.013573,0.014282,0.019007,0.017010,0.016293,0.019522,0.016624,0.010838,0.025762,-0.004910,0.004201,-0.000246,0.001295,-0.019301,0.004814,-0.011827,0.007621,0.006349,0.001400,0.000035,-0.004500,0.006005,-0.001121,-0.004295,-0.009555,-0.007940,0.003248,-0.008173,-0.016539,-0.003092,-0.001975,0.004075,0.001426,0.000785,-0.000846,-0.001547,-0.014546,0.002625,0.004357,-0.014627,-0.016858,-0.014407,-0.011538,-0.009544,-0.016057,-0.008314,-0.005848,-0.021272,-0.011181,0.101638,0.088455
25,1000,1,0.022015,0.022322,0.015173,0.015927,0.016880,0.015810,0.015278,0.019032,0.029708,0.030146,0.005367,-0.003161,-0.032094,0.002766,-0.016151,0.008160,-0.000673,0.007625,-0.007332,0.003635,-0.003531,0.006451,0.008683,-0.002693,-0.013771,-0.006970,0.003481,0.006954,0.003339,-0.002104,-0.013950,0.000720,-0.011417,0.001338,-0.003768,0.001463,0.002025,0.007743,0.009168,-0.005806,-0.019592,-0.013731,-0.026085,-0.002066,-0.011489,-0.034218,-0.010472,-0.035143,-0.025247,-0.031462,0.065522,0.083033
26,1000,1,0.017950,0.026897,0.018440,0.026077,0.010362,0.019404,0.010447,0.012040,0.013431,0.010719,-0.003281,-0.002811,0.011093,-0.014415,-0.003057,-0.007556,-0.004947,-0.000042,0.002655,0.005521,0.005624,-0.000880,-0.016690,-0.005339,0.001117,0.000694,0.002714,0.002802,0.005505,-0.026908,-0.018176,-0.000759,0.001882,0.001096,0.006579,0.004374,-0.003648,-0.000275,-0.006203,0.009549,-0.022640,-0.032082,-0.024672,-0.004642,-0.021323,-0.025488,-0.038019,-0.017227,-0.046533,-0.041181,0.072495,0.084642
27,1000,1,0.017664,0.017842,0.006509,0.011649,0.011397,0.012428,0.004609,0.010799,0.008316,0.013247,0.002664,-0.001496,-0.002614,0.002555,-0.005331,0.004445,-0.002780,0.005048,-0.021085,0.009371,0.001626,0.008039,0.004872,0.001918,-0.005787,0.002318,0.007047,0.001406,0.002316,0.003042,0.001118,-0.012217,-0.006925,-0.007268,-0.015059,-0.022202,-0.007007,0.010583,0.002759,0.004045,-0.018585,-0.010079,-0.018223,-0.013101,-0.026018,-0.043123,-0.024175,-0.014140,-0.018810,-0.016686,0.087799,0.090250
28,1000,1,0.011261,0.021095,0.011577,0.012308,0.021370,0.015934,0.010391,0.011981,0.004042,0.005801,-0.006589,-0.003718,-0.022760,-0.003696,-0.004881,0.002197,0.004115,0.003674,-0.003993,-0.005503,0.006773,-0.006551,-0.016052,0.002351,-0.012974,-0.021551,-0.004246,-0.010845,0.001925,-0.010201,-0.001846,-0.008405,-0.000248,-0.002611,-0.008738,-0.004663,0.001283,-0.028670,-0.003107,0.002294,-0.022684,-0.015630,-0.014367,-0.009338,-0.019687,-0.026367,-0.015933,-0.023094,-0.024411,-0.018948,0.114815,0.063828
29,1000,1,0.012126,0.009896,0.025288,0.021788,0.016932,0.019459,0.012516,0.010196,0.008212,0.016202,0.002332,-0.007357,-0.012895,-0.002907,0.006587,-0.018897,-0.004239,0.001943,0.002626,-0.008754,0.003799,0.005989,-0.002090,-0.026898,0.001908,0.003904,0.000199,-0.006353,-0.001236,-0.004273,-0.004112,0.005482,-0.006582,0.002747,0.003866,0.005244,0.004881,-0.001352,0.000401,-0.011097,-0.017366,-0.010765,-0.014588,-0.030977,-0.023498,-0.039339,-0.016144,-0.024164,-0.026608,-0.018431,0.082535,0.106398
30,1000,1,0.007819,0.014261,0.021097,0.021471,0.000753,0.006766,0.010576,0.020931,0.010820,0.008305,-0.008329,-0.014968,0.003752,0.002455,-0.007830,0.003024,-0.003982,0.002469,-0.009095,-0.001456,0.003838,-0.003997,0.002430,-0.042455,0.000977,0.003622,0.003876,0.008611,-0.000909,-0.005351,-0.007534,-0.009398,-0.004059,0.008713,-0.011885,-0.008003,-0.005045,0.001209,0.005628,-0.001612,-0.031378,-0.005351,-0.017965,-0.014453,-0.019325,-0.017093,-0.006040,-0.015478,-0.014811,-0.020302,0.091471,0.094986
31,1000,1,0.016007,0.018831,0.020048,0.020685,0.019686,0.018176,0.018634,0.012760,0.013946,0.016263,0.002165,0.006600,0.007153,0.000236,-0.000336,-0.009440,0.028318,-0.002998,0.002254,0.000799,-0.003109,0.000033,0.001674,0.004030,0.000288,0.005498,0.002458,-0.000811,0.001449,-0.009385,-0.007676,-0.015357,-0.007095,0.001705,-0.001251,-0.000846,-0.003029,-0.008427,-0.000710,-0.009537,-0.018651,-0.019008,-0.010582,-0.017531,-0.011094,-0.009274,-0.027191,-0.033191,-0.012424,-0.014884,0.095427,0.058766
32,1000,1,0.017059,0.024762,0.019619,0.011854,0.019470,0.015204,0.007899,0.015749,0.016429,0.022497,-0.003198,-0.002337,-0.003907,0.005465,0.003646,-0.001716,-0.003964,0.008284,0.011260,-0.002244,-0.005449,-0.004202,-0.002659,-0.021239,0.004113,-0.020256,-0.013958,-0.002637,-0.008615,0.003343,0.001647,0.002343,-0.000396,0.002069,0.001504,-0.008084,-0.005427,-0.002270,-0.005984,0.003095,-0.005114,-0.017352,-0.011863,-0.037085,-0.027045,-0.015156,-0.023632,-0.043323,-0.013679,-0.025035,0.094934,0.072083
33,1000,1,0.019265,0.009208,0.014635,0.015839,0.010693,0.026649,0.010554,0.017188,0.017952,0.014759,-0.009740,0.005215,-0.001892,-0.008106,0.001449,-0.017471,-0.002789,0.003755,-0.003166,0.003128,0.004864,0.001737,0.004371,-0.005866,0.007179,-0.007344,-0.011541,-0.008087,-0.003946,-0.004388,-0.015213,-0.002852,-0.013085,-0.002572,0.005306,-0.003147,0.003197,-0.001269,0.001046,0.000007,-0.030266,-0.022074,-0.009534,-0.018411,-0.025614,-0.026582,-0.015676,-0.007938,-0.013214,0.001650,0.085142,0.083889
34,1000,1,0.026619,0.023270,0.015645,0.006703,0.004687,0.017527,0.006849,0.015724,0.017511,-0.000384,0.005331,0.000975,0.001623,-0.001912,0.003766,0.004645,0.001720,-0.004679,0.002551,0.006383,0.007677,0.009114,-0.002046,-0.002052,-0.007604,-0.003807,-0.013707,-0.008675,-0.005002,0.002999,0.002144,-0.003813,0.006050,0.004939,0.006511,-0.012755,0.009343,0.015668,0.007439,0.002065,-0.021783,-0.007341,-0.023935,-0.032212,-0.014405,-0.018097,-0.004403,-0.022387,-0.036842,-0.016147,0.074895,0.077452
35,1000,1,0.033109,0.013199,0.012332,0.013361,0.019914,0.016057,0.017612,0.015631,0.014153,0.008413,0.008501,0.007293,-0.002147,-0.022380,0.006623,-0.005371,0.002123,-0.025816,0.007407,0.008049,0.004861,0.008069,-0.003147,-0.018922,0.001802,0.003157,-0.027543,-0.000778,-0.017506,-0.000760,-0.024977,-0.009640,-0.001437,-0.001738,0.007728,-0.003319,-0.002683,-0.001239,0.006523,0.015974,-0.017422,-0.004242,-0.023500,-0.020520,-0.020378,-0.015367,0.001648,0.037595,-0.026156,-0.025845,0.047407,0.072166
36,1000,1,0.011432,0.011888,0.003017,0.015418,0.017933,0.018148,0.014610,0.015489,0.011212,0.010790,0.002238,-0.001811,0.015105,-0.003876,0.002588,-0.004053,0.003254,0.001557,0.003614,-0.009773,-0.003907,0.003426,-0.012100,0.001120,-0.008759,-0.015124,-0.001621,-0.005523,-0.001568,0.002605,-0.007066,-0.010450,-0.000161,-0.018313,-0.032541,0.005154,-0.009112,0.006282,-0.013935,0.030903,-0.006695,-0.008653,-0.048968,-0.040391,-0.027637,-0.027111,-0.019757,-0.005685,-0.027897,-0.008098,0.060744,0.056238
37,1000,1,0.015995,0.011196,0.014126,0.012198,0.017994,0.002285,0.024710,0.014818,0.024727,0.011045,0.002375,-0.013670,-0.012770,-0.001170,0.003551,0.000280,0.003026,0.000684,-0.001045,-0.001095,0.003041,-0.019540,-0.001632,0.002097,0.001545,-0.005111,-0.000953,-0.030331,0.004676,-0.005240,-0.014880,0.004391,0.006920,0.002688,-0.000437,-0.007706,0.004129,0.007345,-0.006529,0.001802,-0.012178,-0.016180,-0.034510,-0.010471,-0.016108,-0.021064,-0.012549,-0.015394,-0.007978,-0.009993,0.089846,0.110049
38,1000,1,0.021506,0.018917,0.014757,0.020437,0.011079,0.015503,0.018251,0.007633,0.007238,0.018041,-0.000658,-0.003585,-0.005924,0.007360,-0.000818,-0.001641,0.003849,0.000260,0.000659,0.001898,0.005269,-0.023604,-0.008773,-0.001123,0.001779,0.002642,-0.004441,-0.013245,0.000640,0.005028,-0.007836,0.003260,0.002576,-0.005535,-0.006534,0.002731,0.001512,-0.000645,-0.002593,-0.010605,-0.042093,-0.017285,-0.023018,-0.019877,-0.010468,-0.008057,-0.005858,-0.010494,-0.010233,-0.018727,0.087407,0.065663
39,1000,1,0.015538,0.008566,0.015556,0.018353,0.023164,0.009300,0.033742,0.020917,0.017144,0.016937,-0.001068,-0.001966,-0.006536,-0.000313,-0.002503,0.009208,0.007920,-0.003140,-0.007777,-0.006617,-0.001111,-0.036258,0.006533,-0.002853,-0.000255,-0.009486,-0.026498,-0.004612,0.004879,-0.007910,-0.000155,0.004548,-0.025903,-0.011752,-0.014326,0.003721,-0.010090,-0.011687,-0.010445,-0.009503,-0.003959,-0.016278,-0.036799,-0.017003,-0.025924,-0.011670,-0.007316,-0.018345,-0.019689,-0.010737,0.083290,0.070154
40,1000,1,0.017007,0.008538,0.010553,0.018492,0.012829,0.011200,0.025939,0.001244,0.018414,0.017472,0.001316,0.006518,-0.000786,-0.004566,0.002828,-0.002928,-0.004915,-0.004025,-0.009816,-0.005324,-0.007325,-0.000750,-0.008959,0.001932,-0.004660,-0.011229,-0.003285,-0.003689,0.002115,0.006116,-0.009128,0.003825,-0.000192,0.001760,-0.001552,0.005452,-0.005901,0.001976,0.002143,-0.009006,-0.009534,-0.008957,-0.026938,-0.011451,-0.007107,-0.013554,-0.011668,-0.027950,-0.016871,-0.009299,0.085036,0.102846
41,1000,1,0.010994,0.010054,0.021555,0.013598,0.010689,0.017562,0.009238,0.014562,0.018070,0.012726,0.007857,-0.000927,0.006338,-0.015246,-0.008717,-0.001708,-0.005575,0.004009,-0.000450,-0.000458,-0.009828,-0.003829,0.020239,-0.000551,0.004253,0.004720,-0.009630,-0.000048,0.006790,-0.014984,0.012923,-0.000371,0.009201,0.000422,-0.002012,0.006165,0.006987,-0.006936,-0.005272,-0.010398,-0.016297,-0.013054,-0.014270,-0.023516,-0.012928,-0.027429,-0.016281,-0.011580,-0.021061,-0.001126,0.071612,0.071275
42,1000,1,0.022705,0.021860,0.016896,0.012146,0.017281,-0.004465,0.028631,0.015802,0.016211,0.014599,0.010989,0.003209,-0.016494,-0.006718,-0.000338,0.002677,-0.000933,-0.005021,0.003785,-0.000318,0.004718,0.007611,0.003159,-0.019514,-0.023075,-0.004816,-0.018302,-0.016362,0.001779,0.003440,-0.009995,-0.012410,-0.011379,0.001700,-0.001700,-0.012033,0.003242,0.005433,0.001781,0.005493,0.001927,-0.015953,-0.005089,-0.023557,-0.017195,-0.017069,-0.023727,-0.040575,-0.012058,-0.014552,0.064923,0.071139
43,1000,1,0.017806,0.013435,0.013646,0.013397,0.011512,0.012555,0.019872,0.009740,0.017662,0.026803,0.004902,-0.007973,-0.001715,0.032851,-0.005440,-0.000614,-0.004596,-0.010855,-0.063506,0.005217,-0.012736,0.000338,-0.002679,0.006703,-0.001644,0.008146,-0.016344,-0.002820,0.004210,-0.016092,-0.009168,-0.005073,0.001695,-0.006648,-0.002006,-0.003073,0.001581,-0.000938,0.004468,0.002243,-0.017236,-0.019528,-0.021250,-0.017990,-0.009235,-0.008966,-0.023212,-0.006746,-0.019430,-0.045559,0.087021,0.051347
44,1000,1,0.024833,0.024063,0.035639,0.007679,0.014251,0.019558,0.010097,0.015166,0.018854,0.013789,0.003778,0.003341,0.003066,-0.003448,-0.005964,-0.005941,0.003893,-0.007986,-0.006185,-0.001310,0.001711,-0.006456,-0.006258,-0.013645,-0.005278,-0.007318,-0.008833,-0.000718,-0.004074,-0.008152,-0.003660,0.002647,-0.000425,-0.000948,-0.002058,0.005566,-0.002333,-0.002542,0.000690,-0.003937,-0.012556,-0.015764,-0.016111,-0.029812,-0.019833,-0.003148,-0.013801,-0.022862,-0.019202,-0.022335,0.073070,0.078762
